study_time,score
44,62
47,60
64,31
67,32
67,26
9,81
83,12
21,69
36,71
87,21
70,24
88,4
88,18
12,81
58,34
65,35
39,64
87,19
46,51
88,11
81,9
37,63
25,83
77,24
72,20
9,83
20,73
80,13
69,39
79,25
47,46
64,43
82,26
99,5
88,11
49,42
29,65
19,81
19,82
14,84
39,62
32,60
65,44
9,97
57,33
32,58
31,65
74,35
23,81
35,65
75,34
55,43
28,75
34,58
0,93
0,92
36,65
53,50
5,100
38,60
17,81
79,30
4,94
42,50
58,35
31,71
1,100
65,25
41,53
57,36
35,68
11,90
46,57
82,21
91,10
0,100
14,90
99,7
53,56
12,79
42,56
84,6
75,19
68,28
6,97
68,29
47,58
3,96
76,32
100,0
52,53
78,23
15,81
20,85
99,0
58,44
23,70
79,29
13,92
85,8
