study_time,score
44,50
47,54
64,59
67,66
67,60
9,0
83,78
21,11
36,43
87,95
70,64
88,80
88,94
12,5
58,50
65,65
39,42
87,93
46,43
88,87
81,71
37,37
25,33
77,78
72,64
9,1
20,13
80,73
69,77
79,83
47,40
64,71
82,90
99,100
88,87
49,40
29,23
19,19
19,20
14,12
39,40
32,24
65,74
9,15
57,47
32,22
31,27
74,83
23,27
35,35
75,84
55,53
28,31
34,26
0,0
0,0
36,37
53,56
5,11
38,36
17,15
79,88
4,2
42,34
58,51
31,33
1,5
65,55
41,35
57,50
35,38
11,12
46,49
82,85
91,92
0,6
14,18
99,100
53,62
12,3
42,40
84,74
75,69
68,64
6,9
68,65
47,52
3,2
76,84
100,98
52,57
78,79
15,11
20,25
99,90
58,60
23,16
79,87
13,18
85,78
